entry_date,ticker,sector,entry_price,entry_score,entry_reason,model_version,created_at,real_strength_med10,leadership_med10,long_med10,sector_med10,short_momentum_score,flow_score,trend_score,real_strength_score,residual_mom_60,residual_mom_120,rs_persistence_count,path_quality_60,return_concentration_60,rs_60,rs_120,rs_sector_60,sector_rs_60,weekly_ret12,medium_trend_confirm,weekly_trend_confirm,ret_5,ma20_distance,volume_ratio_20,macd,macd_hist,ma20,ma50,stage
2025-11-27,PET,Bán lẻ,22.33,79.9618794326241,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-14,PET,Bán lẻ,25.18,73.0809075342466,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-03,PET,Bán lẻ,25.21,73.3353494623656,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-23,PET,Bán lẻ,25.39,82.0296633554084,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,PET,Bán lẻ,36.29,92.5687335958005,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30,PET,Bán lẻ,38.49,81.3638333333333,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-30,PET,Bán lẻ,38.0,70.9049479166667,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-22,PHP,Hàng & Dịch vụ Công nghiệp,36.65,77.4083059210526,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03,PHP,Hàng & Dịch vụ Công nghiệp,39.97,78.8644462719298,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17,PHP,Hàng & Dịch vụ Công nghiệp,44.8,94.1328125,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-07,PHR,Hóa chất,32.58,79.7263189448441,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-04,PHR,Hóa chất,36.38,68.5129032258065,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-15,PHR,Hóa chất,38.72,100.280628109453,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-08,PHR,Hóa chất,33.67,82.0882936507936,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-08,PLX,Dầu khí,34.8,77.7453537170264,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-23,PLX,Dầu khí,34.37,83.7413949275362,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03,PLX,Dầu khí,63.81,84.5519462719298,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-16,PLX,Dầu khí,38.2,83.09375,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-18,PNJ,Hàng cá nhân & Gia dụng,60.65,67.4507299270073,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-26,POW,"Điện, nước & xăng dầu khí đốt",12.58,77.1520390070922,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-22,POW,"Điện, nước & xăng dầu khí đốt",12.7,73.2377717391304,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-02,POW,"Điện, nước & xăng dầu khí đốt",15.5,80.2386744966443,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,POW,"Điện, nước & xăng dầu khí đốt",14.15,72.7541010498688,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,PVC,Dầu khí,11.6,85.7732314148681,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02,PVC,Dầu khí,15.8,89.6376344086021,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-19,PVD,Dầu khí,16.53,85.0497262773723,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-30,PVD,Dầu khí,18.57,83.5703463203463,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09,PVD,Dầu khí,19.95,74.734096692112,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14,PVD,Dầu khí,19.9,90.5770833333333,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15,PVD,Dầu khí,19.65,93.6200396825397,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-04,PVP,Hàng & Dịch vụ Công nghiệp,17.08,83.9864130434783,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-08,PVP,Hàng & Dịch vụ Công nghiệp,18.03,86.6731150793651,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-19,PVS,Dầu khí,26.96,71.025088028169,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-18,PVS,Dầu khí,27.33,76.4487530413625,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-02,PVS,Dầu khí,43.42,79.949244966443,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04,PVS,Dầu khí,32.25,71.5710685483871,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-25,PVT,Hàng & Dịch vụ Công nghiệp,16.84,82.2628546099291,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-07,PVT,Hàng & Dịch vụ Công nghiệp,18.66,77.4617805755396,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-26,PVT,Hàng & Dịch vụ Công nghiệp,20.48,76.5753635346756,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-24,PVT,Hàng & Dịch vụ Công nghiệp,20.65,73.74343832021,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-08,PVT,Hàng & Dịch vụ Công nghiệp,21.3,86.3060515873016,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
