horizon,metric,decile,mean,median,hit_rate,count
60,absolute,7,-0.022755891318447068,-0.04054669703872438,0.34280559314388814,2217
60,absolute,8,-0.02029022621324188,-0.042857142857142816,0.36261261261261263,2220
60,absolute,9,-0.024850234764500465,-0.04310660551318252,0.3589511754068716,2212
60,absolute,10,-0.03385200585326422,-0.0625,0.3468409586056645,2295
60,market_alpha,1,-0.053489320750085785,-0.08266148152379194,0.29071274298056154,2315
60,market_alpha,2,-0.05923847688747943,-0.07742076084178162,0.2756152125279642,2235
60,market_alpha,3,-0.049371822029430364,-0.06760469372330397,0.2863636363636364,2200
60,market_alpha,4,-0.04720693330196716,-0.06501740451316573,0.29732142857142857,2240
60,market_alpha,5,-0.04230233072975569,-0.06045099510298607,0.3193950177935943,2248
60,market_alpha,6,-0.03920852759413839,-0.05673820551917458,0.3353156450137237,2186
60,market_alpha,7,-0.0421241194065917,-0.05824995654354215,0.3202525935949481,2217
60,market_alpha,8,-0.03981771132296873,-0.058125004936347924,0.3342342342342342,2220
60,market_alpha,9,-0.044355064826435496,-0.062178880273382475,0.33047016274864377,2212
60,market_alpha,10,-0.05349781532655284,-0.0775027753802886,0.3464052287581699,2295
60,sector_alpha,1,0.021194593416983758,0.0,0.44578833693304537,2315
60,sector_alpha,2,0.018363708148946545,0.0,0.45548098434004475,2235
60,sector_alpha,3,0.02303334383357725,0.0,0.4713636363636364,2200
60,sector_alpha,4,0.022831318498233513,0.0,0.47098214285714285,2240
60,sector_alpha,5,0.0229082657053013,0.0,0.4795373665480427,2248
60,sector_alpha,6,0.024820648515575378,0.0,0.48581884720951507,2186
60,sector_alpha,7,0.02344903196102053,0.0,0.492106450157871,2217
60,sector_alpha,8,0.018241131020934064,0.0,0.4698198198198198,2220
60,sector_alpha,9,0.01663597525550378,0.0,0.4638336347197107,2212
60,sector_alpha,10,0.0013536686712406776,0.0,0.4008714596949891,2295
